open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
2021-06-04 00:00:00+00:00,39246.78,39289.07,35555.15,36829.0,91317.799245,2021-06-04 23:59:59.999000+00:00,3379399754.9305224,1926311,43105.97173,1595098152.9668267
2021-06-05 00:00:00+00:00,36829.15,37925.0,34800.0,35513.2,70459.62149,2021-06-05 23:59:59.999000+00:00,2560547116.8364058,1463754,34397.77436,1249708171.2723916
2021-06-06 00:00:00+00:00,35516.07,36480.0,35222.0,35796.31,47650.206637,2021-06-06 23:59:59.999000+00:00,1711857075.0471697,993430,23661.260636,850204250.7625557
2021-06-07 00:00:00+00:00,35796.31,36900.0,33300.0,33552.79,77574.952573,2021-06-07 23:59:59.999000+00:00,2755673601.713914,1532260,36431.560586,1295757611.708646
2021-06-08 00:00:00+00:00,33556.96,34068.01,31000.0,33380.81,123251.189037,2021-06-08 23:59:59.999000+00:00,4030784324.609684,2074885,60095.990201,1966354847.5691981
2021-06-09 00:00:00+00:00,33380.8,37534.79,32396.82,37388.05,136607.597517,2021-06-09 23:59:59.999000+00:00,4794741674.438823,2601479,68790.289265,2415789675.0859303
2021-06-10 00:00:00+00:00,37388.05,38491.0,35782.0,36675.72,109527.284943,2021-06-10 23:59:59.999000+00:00,4062957162.3643,2231430,53639.424022,1990486079.2177145
2021-06-11 00:00:00+00:00,36677.83,37680.4,35936.77,37331.98,78466.0053,2021-06-11 23:59:59.999000+00:00,2903043643.310072,1727645,39406.719224,1458619433.2768435
2021-06-12 00:00:00+00:00,37331.98,37463.63,34600.36,35546.11,87717.54999,2021-06-12 23:59:59.999000+00:00,3132387326.5375137,1719650,42571.205313,1520432734.299909
2021-06-13 00:00:00+00:00,35546.12,39380.0,34757.0,39020.57,86921.025555,2021-06-13 23:59:59.999000+00:00,3208991521.63768,1894103,45675.273616,1688611358.4117024
2021-06-14 00:00:00+00:00,39020.56,41064.05,38730.0,40516.29,108522.391949,2021-06-14 23:59:59.999000+00:00,4320307646.765389,2185089,53645.908744,2135285912.6205053
2021-06-15 00:00:00+00:00,40516.28,41330.0,39506.4,40144.04,80679.622838,2021-06-15 23:59:59.999000+00:00,3247746713.62741,1931890,39428.829726,1587381565.815413
2021-06-16 00:00:00+00:00,40143.8,40527.14,38116.01,38349.01,87771.976937,2021-06-16 23:59:59.999000+00:00,3450556041.6005836,2134897,42137.242251,1657135674.8230214
2021-06-17 00:00:00+00:00,38349.0,39559.88,37365.0,38092.97,79541.307119,2021-06-17 23:59:59.999000+00:00,3065622530.039886,1620210,37936.812673,1462729677.1158257
2021-06-18 00:00:00+00:00,38092.97,38202.84,35129.29,35819.84,95228.042935,2021-06-18 23:59:59.999000+00:00,3507868126.3062024,1809253,44824.436567,1651613641.3868167
2021-06-19 00:00:00+00:00,35820.48,36457.0,34803.52,35483.72,68712.449461,2021-06-19 23:59:59.999000+00:00,2453817534.777169,1212278,33788.293345,1207082481.7647178
2021-06-20 00:00:00+00:00,35483.72,36137.72,33336.0,35600.16,89878.17085,2021-06-20 23:59:59.999000+00:00,3124634336.8407607,1691871,44194.067387,1537385055.4929118
2021-06-21 00:00:00+00:00,35600.17,35750.0,31251.23,31608.93,168778.873159,2021-06-21 23:59:59.999000+00:00,5545926077.788067,2688993,81297.469751,2671033140.1889787
2021-06-22 00:00:00+00:00,31614.12,33298.78,28805.0,32509.56,204208.179762,2021-06-22 23:59:59.999000+00:00,6406159197.076789,3113977,99149.182266,3115465362.9670815
2021-06-23 00:00:00+00:00,32509.56,34881.0,31683.0,33678.07,126966.100563,2021-06-23 23:59:59.999000+00:00,4282250433.919445,2026228,63340.033137,2136458765.586804
2021-06-24 00:00:00+00:00,33675.07,35298.0,32286.57,34663.09,86625.80426,2021-06-24 23:59:59.999000+00:00,2925373222.105977,1531230,43994.708298,1486960778.326773
2021-06-25 00:00:00+00:00,34663.08,35500.0,31275.0,31584.45,116061.130356,2021-06-25 23:59:59.999000+00:00,3846120542.6572967,2094932,55656.156252,1846078278.3047829
2021-06-26 00:00:00+00:00,31576.09,32730.0,30151.0,32283.65,107820.375287,2021-06-26 23:59:59.999000+00:00,3376415451.793124,1814051,52978.159256,1659918820.240478
2021-06-27 00:00:00+00:00,32283.65,34749.0,31973.45,34700.34,96613.244211,2021-06-27 23:59:59.999000+00:00,3199980157.7503333,1799875,48772.52918,1616348030.4826243
2021-06-28 00:00:00+00:00,34702.49,35297.71,33862.72,34494.89,82222.267819,2021-06-28 23:59:59.999000+00:00,2837122779.5244017,1868627,40552.29218,1399861431.1646347
2021-06-29 00:00:00+00:00,34494.89,36600.0,34225.43,35911.73,90788.79622,2021-06-29 23:59:59.999000+00:00,3233947791.8633885,1673802,45376.587629,1616093004.8521647
2021-06-30 00:00:00+00:00,35911.72,36100.0,34017.55,35045.0,77152.197634,2021-06-30 23:59:59.999000+00:00,2688939291.095673,1301036,37035.769674,1290873346.2241623
2021-07-01 00:00:00+00:00,35045.0,35057.57,32711.0,33504.69,71708.266112,2021-07-01 23:59:59.999000+00:00,2410809595.390457,1240681,34986.055016,1176002216.565681
2021-07-02 00:00:00+00:00,33502.33,33977.04,32699.0,33786.55,56172.181378,2021-07-02 23:59:59.999000+00:00,1870193042.393537,1176457,27271.658005,908203511.3411496
2021-07-03 00:00:00+00:00,33786.54,34945.61,33316.73,34669.13,43044.578641,2021-07-03 23:59:59.999000+00:00,1478423023.503483,1078278,21331.875045,732586226.4725718
2021-07-04 00:00:00+00:00,34669.12,35967.85,34357.15,35286.51,43703.475789,2021-07-04 23:59:59.999000+00:00,1544458212.3926332,1164970,21180.335069,748187394.2395809
2021-07-05 00:00:00+00:00,35288.13,35293.78,33125.55,33690.14,64123.874245,2021-07-05 23:59:59.999000+00:00,2183406257.4938293,1109367,31489.855372,1071967415.425311
2021-07-06 00:00:00+00:00,33690.15,35118.88,33532.0,34220.01,58210.596349,2021-07-06 23:59:59.999000+00:00,1991691100.9482658,1184687,27801.954493,951269024.0379497
2021-07-07 00:00:00+00:00,34220.02,35059.09,33777.77,33862.12,53807.521675,2021-07-07 23:59:59.999000+00:00,1857658028.480804,1041416,27294.923927,941984587.9756222
2021-07-08 00:00:00+00:00,33862.11,33929.64,32077.0,32875.71,70136.48032,2021-07-08 23:59:59.999000+00:00,2304973020.298715,1257892,35104.655225,1152928339.821843
2021-07-09 00:00:00+00:00,32875.71,34100.0,32261.07,33815.81,47153.939899,2021-07-09 23:59:59.999000+00:00,1562958239.3913763,1236351,23660.068601,784288611.1325287
2021-07-10 00:00:00+00:00,33815.81,34262.0,33004.78,33502.87,34761.175468,2021-07-10 23:59:59.999000+00:00,1171790111.0829954,865508,17012.759197,573638406.5470238
2021-07-11 00:00:00+00:00,33502.87,34666.0,33306.47,34258.99,31572.647448,2021-07-11 23:59:59.999000+00:00,1070033013.1920449,952891,16434.537508,557336788.6966077
2021-07-12 00:00:00+00:00,34259.0,34678.43,32658.34,33086.63,48181.403762,2021-07-12 23:59:59.999000+00:00,1620646741.3349633,1176847,22602.907306,759877911.0350466
2021-07-13 00:00:00+00:00,33086.94,33340.0,32202.25,32729.77,41126.361008,2021-07-13 23:59:59.999000+00:00,1348583017.010343,956053,19588.278507,642576716.6041436
2021-07-14 00:00:00+00:00,32729.12,33114.03,31550.0,32820.02,46777.823484,2021-07-14 23:59:59.999000+00:00,1515692074.9875476,1123129,22516.485719,730009068.0708964
2021-07-15 00:00:00+00:00,32820.03,33185.25,31133.0,31880.0,51639.576353,2021-07-15 23:59:59.999000+00:00,1652077965.43656,1099367,24866.405787,795831015.696149
2021-07-16 00:00:00+00:00,31874.49,32249.18,31020.0,31383.87,48499.864154,2021-07-16 23:59:59.999000+00:00,1538342711.5796566,1067591,23963.744568,760274744.5520707
2021-07-17 00:00:00+00:00,31383.86,31955.92,31164.31,31520.07,34012.242132,2021-07-17 23:59:59.999000+00:00,1072815966.3363075,883442,16649.051308,525240023.82137984
2021-07-18 00:00:00+00:00,31520.07,32435.0,31108.97,31778.56,35923.716186,2021-07-18 23:59:59.999000+00:00,1140964365.6466014,760979,17554.182653,557709781.1191803
2021-07-19 00:00:00+00:00,31778.57,31899.0,30407.44,30839.65,47340.468499,2021-07-19 23:59:59.999000+00:00,1470563281.936503,846029,22709.510045,705480091.1446748
2021-07-20 00:00:00+00:00,30839.65,31063.07,29278.0,29790.35,61034.049017,2021-07-20 23:59:59.999000+00:00,1821230700.020391,1062139,28424.82505,847855259.1399382
2021-07-21 00:00:00+00:00,29790.34,32858.0,29482.61,32144.51,82796.265128,2021-07-21 23:59:59.999000+00:00,2603140706.0822244,1415058,42584.672219,1338356405.5419319
2021-07-22 00:00:00+00:00,32144.51,32591.35,31708.0,32287.83,46148.092433,2021-07-22 23:59:59.999000+00:00,1482763544.9505365,1000742,23274.512805,747848528.8767201
2021-07-23 00:00:00+00:00,32287.58,33650.0,31924.32,33634.09,50112.863626,2021-07-23 23:59:59.999000+00:00,1631947003.0730467,1394786,25018.977079,815391041.1933738
2021-07-24 00:00:00+00:00,33634.1,34500.0,33401.14,34258.14,47977.550138,2021-07-24 23:59:59.999000+00:00,1625046258.4365523,1196914,23937.617814,810983258.0424594
2021-07-25 00:00:00+00:00,34261.51,35398.0,33851.12,35381.02,47852.928313,2021-07-25 23:59:59.999000+00:00,1646935552.8055446,1245775,24632.1493,848320775.42419
2021-07-26 00:00:00+00:00,35381.02,40550.0,35205.78,37237.6,152452.512724,2021-07-26 23:59:59.999000+00:00,5832475057.065677,3330102,77191.346075,2953296773.15355
2021-07-27 00:00:00+00:00,37241.33,39542.61,36383.0,39457.87,88397.267015,2021-07-27 23:59:59.999000+00:00,3335658261.995547,1938478,45137.303439,1703810516.3378596
2021-07-28 00:00:00+00:00,39456.61,40900.0,38772.0,40019.56,101344.528441,2021-07-28 23:59:59.999000+00:00,4040889461.6615276,2631048,49019.136276,1954994215.0046122
2021-07-29 00:00:00+00:00,40019.57,40640.0,39200.0,40016.48,53998.439283,2021-07-29 23:59:59.999000+00:00,2154190697.3453183,1428738,26700.926244,1065505374.5052506
2021-07-30 00:00:00+00:00,40018.49,42316.71,38313.23,42206.37,73602.784805,2021-07-30 23:59:59.999000+00:00,2939833541.3815365,1797012,37730.426862,1509172746.2039788
2021-07-31 00:00:00+00:00,42206.36,42448.0,41000.15,41461.83,44849.791012,2021-07-31 23:59:59.999000+00:00,1868285510.8846788,1565380,22844.24505,951887855.6214969
2021-08-01 00:00:00+00:00,41461.84,42599.0,39422.01,39845.44,53953.186326,2021-08-01 23:59:59.999000+00:00,2227567271.4878654,1603964,25796.753795,1066579608.8398235
2021-08-02 00:00:00+00:00,39850.27,40480.01,38690.0,39147.82,50837.351954,2021-08-02 23:59:59.999000+00:00,2010928003.5944088,1162878,24558.005343,971596720.9467593
2021-08-03 00:00:00+00:00,39146.86,39780.0,37642.03,38207.05,57117.435853,2021-08-03 23:59:59.999000+00:00,2195360658.567329,1379871,27683.466598,1064118781.8498573
2021-08-04 00:00:00+00:00,38207.04,39969.66,37508.56,39723.18,52329.35243,2021-08-04 23:59:59.999000+00:00,2028792778.1848047,1220555,26804.211169,1039347051.5555266
2021-08-05 00:00:00+00:00,39723.17,41350.0,37332.7,40862.46,84343.755621,2021-08-05 23:59:59.999000+00:00,3314527738.339733,1913281,41673.129081,1638359889.802016
2021-08-06 00:00:00+00:00,40862.46,43392.43,39853.86,42836.87,75753.941347,2021-08-06 23:59:59.999000+00:00,3148022459.9161587,2223356,38278.004758,1591634314.1008012
2021-08-07 00:00:00+00:00,42836.87,44700.0,42446.41,44572.54,73396.740808,2021-08-07 23:59:59.999000+00:00,3197407326.036793,2258213,37355.623845,1627865923.8789735
2021-08-08 00:00:00+00:00,44572.54,45310.0,43261.0,43794.37,69329.092698,2021-08-08 23:59:59.999000+00:00,3074924734.87934,1857112,34099.15066,1512451140.3989158
2021-08-09 00:00:00+00:00,43794.36,46454.15,42779.0,46253.4,74587.884845,2021-08-09 23:59:59.999000+00:00,3362870286.258118,2130595,38464.60543,1735618666.8181322
2021-08-10 00:00:00+00:00,46248.87,46700.0,44589.46,45584.99,53814.643421,2021-08-10 23:59:59.999000+00:00,2452485823.9336543,1951330,26592.369314,1212338434.7318356
2021-08-11 00:00:00+00:00,45585.0,46743.47,45341.14,45511.0,52734.901977,2021-08-11 23:59:59.999000+00:00,2432788769.8326964,1862925,27064.393843,1248929298.8285875
2021-08-12 00:00:00+00:00,45510.67,46218.12,43770.0,44399.0,55266.108781,2021-08-12 23:59:59.999000+00:00,2478758524.8641763,1623329,26765.08804,1200329050.573911
2021-08-13 00:00:00+00:00,44400.06,47886.0,44217.39,47800.0,48239.370431,2021-08-13 23:59:59.999000+00:00,2239435701.1177917,1804716,25367.988236,1177391788.09299
2021-08-14 00:00:00+00:00,47799.99,48144.0,45971.03,47068.51,46114.359022,2021-08-14 23:59:59.999000+00:00,2166461458.668249,1849556,22999.528519,1080741765.6874592
2021-08-15 00:00:00+00:00,47068.5,47372.27,45500.0,46973.82,42110.711334,2021-08-15 23:59:59.999000+00:00,1950753713.2121248,1580122,21129.919776,979120004.2028339
2021-08-16 00:00:00+00:00,46973.82,48053.83,45660.0,45901.29,52480.574014,2021-08-16 23:59:59.999000+00:00,2462127629.6090236,1655378,25847.872438,1213162181.6654189
2021-08-17 00:00:00+00:00,45901.3,47160.0,44376.0,44695.95,57039.341629,2021-08-17 23:59:59.999000+00:00,2616339597.9157424,1781303,27320.261808,1253906922.5820968
2021-08-18 00:00:00+00:00,44695.95,46000.0,44203.28,44705.29,54099.415985,2021-08-18 23:59:59.999000+00:00,2439673265.947117,1656723,28538.223727,1286718404.7064972
2021-08-19 00:00:00+00:00,44699.37,47033.0,43927.7,46760.62,53411.75392,2021-08-19 23:59:59.999000+00:00,2416320067.133769,1774382,27193.50515,1230827552.4101412
2021-08-20 00:00:00+00:00,46760.62,49382.99,46622.99,49322.47,56850.352228,2021-08-20 23:59:59.999000+00:00,2721131744.2778172,1950404,29725.885112,1422944576.3472955
2021-08-21 00:00:00+00:00,49322.47,49757.04,48222.0,48821.87,46745.136584,2021-08-21 23:59:59.999000+00:00,2290966131.376161,2069725,23119.673786,1133342367.7445276
2021-08-22 00:00:00+00:00,48821.88,49500.0,48050.0,49239.22,37007.887795,2021-08-22 23:59:59.999000+00:00,1807169840.1691713,1610192,18587.877552,907708162.1109709
2021-08-23 00:00:00+00:00,49239.22,50500.0,49029.0,49488.85,52462.541954,2021-08-23 23:59:59.999000+00:00,2616721363.685172,2143309,26218.97512,1307817635.390983
2021-08-24 00:00:00+00:00,49488.85,49860.0,47600.0,47674.01,51014.594748,2021-08-24 23:59:59.999000+00:00,2486079315.5644236,1692896,24702.923443,1203899649.6998262
2021-08-25 00:00:00+00:00,47674.01,49264.3,47126.28,48973.32,44655.830342,2021-08-25 23:59:59.999000+00:00,2149442271.5264206,1559186,21796.877672,1049712097.3482182
2021-08-26 00:00:00+00:00,48973.32,49352.84,46250.0,46843.87,49371.277774,2021-08-26 23:59:59.999000+00:00,2333900030.229628,1532753,23686.563496,1120008931.619874
2021-08-27 00:00:00+00:00,46843.86,49149.93,46348.0,49069.9,42068.104965,2021-08-27 23:59:59.999000+00:00,2007071230.219995,1320503,21727.05079,1036769755.559603
2021-08-28 00:00:00+00:00,49069.9,49299.0,48346.88,48895.35,26681.063786,2021-08-28 23:59:59.999000+00:00,1303966035.7705495,793012,13895.763677,679193791.5995204
2021-08-29 00:00:00+00:00,48895.35,49632.27,47762.54,48767.83,32652.283473,2021-08-29 23:59:59.999000+00:00,1588661416.3603797,1193046,16157.043096,786599088.6916698
2021-08-30 00:00:00+00:00,48767.84,48888.61,46853.0,46982.91,40288.35083,2021-08-30 23:59:59.999000+00:00,1932344430.923926,1204012,19637.84056,942218565.0215595
2021-08-31 00:00:00+00:00,46982.91,48246.11,46700.0,47100.89,48645.52737,2021-08-31 23:59:59.999000+00:00,2303799571.3822727,1300400,24426.21235,1156878830.6908386
2021-09-01 00:00:00+00:00,47100.89,49156.0,46512.0,48810.52,49904.65528,2021-09-01 23:59:59.999000+00:00,2386074445.415852,1280384,25102.36864,1200480555.049387
2021-09-02 00:00:00+00:00,48810.51,50450.13,48584.06,49246.64,54410.770538,2021-09-02 23:59:59.999000+00:00,2704192314.674689,1549849,28351.807225,1409412062.219681
2021-09-03 00:00:00+00:00,49246.63,51000.0,48316.84,49999.14,59025.644157,2021-09-03 23:59:59.999000+00:00,2949574478.071738,1645163,29625.443383,1481238133.394633
2021-09-04 00:00:00+00:00,49998.0,50535.69,49370.0,49915.64,34664.65959,2021-09-04 23:59:59.999000+00:00,1733527136.4442587,1225830,16739.70385,837225473.735276
2021-09-05 00:00:00+00:00,49917.54,51900.0,49450.0,51756.88,40544.835873,2021-09-05 23:59:59.999000+00:00,2049212025.844659,1417660,21557.235864,1090239906.6856637
2021-09-06 00:00:00+00:00,51756.88,52780.0,50969.33,52663.9,49249.667081,2021-09-06 23:59:59.999000+00:00,2549290983.0568776,1678015,24620.352525,1274643403.547947
2021-09-07 00:00:00+00:00,52666.2,52920.0,42843.05,46863.73,123048.802719,2021-09-07 23:59:59.999000+00:00,6004105772.870442,3321711,57935.601976,2832268574.038726
2021-09-08 00:00:00+00:00,46868.57,47340.99,44412.02,46048.31,65069.3152,2021-09-08 23:59:59.999000+00:00,3000605793.9389606,1796101,31796.7476,1466544608.2678735
2021-09-09 00:00:00+00:00,46048.31,47399.97,45513.08,46395.14,50651.66002,2021-09-09 23:59:59.999000+00:00,2351862983.5182414,1567586,24183.38803,1122994690.9093316
2021-09-10 00:00:00+00:00,46395.14,47033.0,44132.29,44850.91,49048.26618,2021-09-10 23:59:59.999000+00:00,2243698626.0395164,1569941,24358.59799,1114490733.8792434
2021-09-11 00:00:00+00:00,44842.2,45987.93,44722.22,45173.69,30440.4081,2021-09-11 23:59:59.999000+00:00,1380370764.0127168,1060890,14804.3426,671123069.5623685
2021-09-12 00:00:00+00:00,45173.68,46460.0,44742.06,46025.24,32094.28052,2021-09-12 23:59:59.999000+00:00,1464780920.2199812,1179808,15735.45104,718436012.7588656
2021-09-13 00:00:00+00:00,46025.23,46880.0,43370.0,44940.73,65429.15056,2021-09-13 23:59:59.999000+00:00,2930668118.2616343,1703512,32041.05972,1435586958.7798681
2021-09-14 00:00:00+00:00,44940.72,47250.0,44594.44,47111.52,44855.85099,2021-09-14 23:59:59.999000+00:00,2072259519.0619197,1210258,22182.46649,1025156547.7189184
2021-09-15 00:00:00+00:00,47103.28,48500.0,46682.32,48121.41,43204.71174,2021-09-15 23:59:59.999000+00:00,2056996398.8439617,1176050,20903.53535,995198313.7474111
2021-09-16 00:00:00+00:00,48121.4,48557.0,47021.1,47737.82,40725.08895,2021-09-16 23:59:59.999000+00:00,1948447232.9107177,1176129,19907.79151,952502982.8119017
2021-09-17 00:00:00+00:00,47737.81,48150.0,46699.56,47299.98,34461.92776,2021-09-17 23:59:59.999000+00:00,1637122049.4128377,1033968,16599.46162,788563444.4133477
2021-09-18 00:00:00+00:00,47299.98,48843.2,47035.56,48292.74,30906.47038,2021-09-18 23:59:59.999000+00:00,1491461627.9514225,976346,15219.90487,734476256.0995072
2021-09-19 00:00:00+00:00,48292.75,48372.83,46829.18,47241.75,29847.24349,2021-09-19 23:59:59.999000+00:00,1421642879.4932063,909785,14346.79979,683249734.0721828
2021-09-20 00:00:00+00:00,47241.75,47347.25,42500.0,43015.62,78003.524443,2021-09-20 23:59:59.999000+00:00,3457139274.300071,1842231,36108.362951,1600107748.5660272
2021-09-21 00:00:00+00:00,43016.64,43639.0,39600.0,40734.38,84534.080485,2021-09-21 23:59:59.999000+00:00,3551997786.6903553,1820721,38942.74356,1637800328.5038831
2021-09-22 00:00:00+00:00,40734.09,44000.55,40565.39,43543.61,58349.05542,2021-09-22 23:59:59.999000+00:00,2482639471.907596,1304011,29321.5066,1248027083.190341
2021-09-23 00:00:00+00:00,43546.37,44978.0,43069.09,44865.26,48699.57655,2021-09-23 23:59:59.999000+00:00,2147211305.482089,1196106,24503.00365,1080404499.5649571
2021-09-24 00:00:00+00:00,44865.26,45200.0,40675.0,42810.57,84113.426292,2021-09-24 23:59:59.999000+00:00,3596718231.0505486,1819744,41952.776582,1794510963.7797813
2021-09-25 00:00:00+00:00,42810.58,42966.84,41646.28,42670.64,33594.57189,2021-09-25 23:59:59.999000+00:00,1428238748.2095258,949787,16555.7295,703947971.383276
2021-09-26 00:00:00+00:00,42670.63,43950.0,40750.0,43160.9,49879.99765,2021-09-26 23:59:59.999000+00:00,2124657079.2797766,1374145,24762.74447,1055225792.1285858
2021-09-27 00:00:00+00:00,43160.9,44350.0,42098.0,42147.35,39776.84383,2021-09-27 23:59:59.999000+00:00,1728912299.8034244,1001487,19307.85346,839585982.3907081
2021-09-28 00:00:00+00:00,42147.35,42787.38,40888.0,41026.54,43372.2624,2021-09-28 23:59:59.999000+00:00,1816305387.8388581,1045389,20710.0903,867306872.2124455
2021-09-29 00:00:00+00:00,41025.01,42590.0,40753.88,41524.28,33511.53487,2021-09-29 23:59:59.999000+00:00,1399625476.0563762,884909,16338.4266,682466342.7870586
2021-09-30 00:00:00+00:00,41524.29,44141.37,41410.17,43824.1,46381.22781,2021-09-30 23:59:59.999000+00:00,2005486003.5646772,1197815,23348.93974,1009687948.2258337
